KAMIK,GREG,PEUR,PREV,
11,8,22,26,
12,8,22,26,
12,8,20,26,
13,7,19,27,
12,7,19,27,
12,7,19,27,
12,8,20,27,
12,8,21,28,
12,8,22,28,
11,7,22,27,
11,8,21,26,
11,8,22,27,
11,8,22,27,
11,8,21,27,
11,8,20,27,
11,7,20,27,
11,7,20,28,
11,6,21,28,
10,6,20,29,
10,7,20,29,
11,7,21,30,
11,7,21,29,
8,7,20,30,
8,7,21,30,
7,7,22,31,
7,7,22,31,
8,7,22,32,
9,8,22,32,
8,7,22,30,
6,5,22,29,
7,5,22,28,
7,5,22,29,
7,5,23,28,
6,5,23,28,
7,5,24,29,
7,6,24,29,
6,6,24,29,
7,6,24,29,
8,6,25,28,
7,6,25,26,
7,7,26,26,
7,7,26,26,
7,8,27,26,
8,8,27,27,
10,8,27,27,
11,7,28,27,
11,7,28,28,
12,6,28,27,
11,6,28,28,
12,7,29,28,
12,7,30,28,
11,7,30,26,
11,6,30,26,
10,6,31,27,
8,7,32,27,
8,7,32,25,
9,7,29,26,
9,7,29,26,
10,7,30,26,
11,7,29,26,
11,8,27,25,
11,6,27,24,
11,6,28,24,
11,6,27,24,
11,6,27,24,
12,6,26,24,
12,7,26,24,
13,7,27,26,
12,7,27,26,
13,7,27,26,
12,6,27,26,
12,6,27,26,
12,7,27,27,
12,7,27,27,
10,7,26,27,
9,7,25,27,
9,8,25,27,
9,9,25,28,
9,8,26,26,
9,9,27,26,
10,8,26,25,
8,8,27,25,
8,7,28,25,
8,7,27,24,
9,6,27,25,
9,6,27,24,
9,6,27,25,
10,6,27,26,
11,5,28,26,
11,5,28,26,
11,5,28,25,
11,5,29,25,
11,5,29,25,
10,5,29,25,
10,4,29,25,
11,4,30,25,
11,4,31,25,
10,5,31,26,
11,6,31,27,
12,6,30,25,
12,6,28,23,
13,6,28,23,
13,6,28,24,
13,6,28,24,
13,7,28,24,
14,7,27,24,
15,7,27,24,
15,7,27,24,
15,7,27,23,
15,7,27,22,
15,7,27,22,
15,6,27,22,
16,5,27,22,
16,5,27,22,
15,5,27,23,
15,5,28,23,
14,5,28,24,
14,6,28,25,
14,4,29,26,
14,4,29,26,
14,4,28,26,
14,4,27,25,
14,4,27,26,
15,4,27,26,
14,4,27,26,
14,4,24,26,
14,4,24,24,
14,5,24,24,
13,5,24,25,
14,5,24,25,
14,6,23,24,
14,6,24,24,
14,5,23,24,
15,5,22,25,
15,6,23,25,
14,5,24,25,
14,6,25,25,
15,6,25,25,
15,6,25,24,
13,5,25,24,
13,4,24,24,
12,4,24,24,
12,4,25,24,
12,4,25,25,
12,4,25,25,
11,4,25,25,
10,4,25,26,
9,4,25,26,
10,5,25,26,
10,6,26,27,
10,6,26,26,
8,7,26,25,
8,7,26,25,
8,7,27,25,
7,7,27,26,
8,8,27,26,
8,9,27,25,
8,9,27,25,
8,10,27,25,
7,11,27,25,
6,12,27,26,
6,13,26,25,
5,14,26,25,
4,15,26,25,
4,16,26,25,
4,16,26,25,
4,16,26,24,
4,16,26,24,
3,15,25,22,
3,15,25,21,
3,15,25,21,
3,16,26,19,
3,16,27,19,
3,17,26,19,
3,17,26,19,
3,17,26,20,
3,17,26,20,
3,15,26,20,
4,16,26,21,
5,16,26,21,
5,17,27,22,
5,16,27,23,
5,16,27,23,
6,17,27,23,
6,17,26,23,
6,17,26,22,
6,17,26,21,
6,17,27,21,
6,17,28,22,
6,17,27,22,
6,17,28,23,
6,17,28,24,
6,17,29,24,
7,17,29,24,
8,17,29,23,
6,16,28,23,
6,16,29,23,
6,15,28,24,
6,15,29,24,
6,15,29,25,
7,15,29,25,
7,15,29,26,
7,16,28,26,
7,16,28,26,
7,17,28,25,
7,17,28,25,
8,16,29,24,
8,16,29,24,
8,16,29,24,
8,16,29,24,
8,16,29,24,
8,15,28,24,
9,16,28,24,
9,17,29,24,
9,17,29,24,
9,17,29,24,
9,17,29,24,
9,18,30,23,
10,18,30,23,
10,19,30,21,
10,20,31,21,
10,20,30,21,
11,20,31,21,
11,20,30,21,
11,20,30,21,
11,20,30,22,
10,21,29,23,
10,21,27,22,
10,21,27,23,
10,21,27,23,
10,22,28,23,
10,22,28,22,
10,23,28,23,
11,23,29,24,
11,24,29,24,
11,24,29,24,
11,25,30,24,
11,26,29,23,
10,24,29,23,
10,24,29,22,
10,24,28,22,
10,22,29,23,
10,22,29,22,
10,22,29,22,
10,22,29,21,
10,21,29,21,
11,21,29,20,
11,21,29,20,
11,21,28,20,
12,21,28,19,
12,20,28,19,
11,21,28,19,
11,20,28,19,
11,20,29,17,
11,20,29,17,
12,20,29,16,
12,20,29,17,
12,20,28,17,
12,18,29,17,
12,17,29,17,
12,16,29,17,
13,15,29,18,
14,14,29,18,
15,13,29,17,
15,11,30,17,
15,11,31,17,
15,11,31,17,
15,10,32,17,
15,10,33,18,
15,10,31,18,
13,10,32,19,
13,9,32,19,
12,9,32,19,
12,9,33,19,
13,9,34,19,
13,9,33,19,
13,10,33,20,
14,10,34,20,
14,10,35,19,
14,10,35,18,
15,10,36,19,
15,10,36,19,
15,10,36,17,
15,10,36,17,
15,10,35,17,
15,10,35,17,
15,10,35,17,
15,10,36,18,
15,10,36,18,
15,11,36,18,
15,12,36,18,
16,12,34,18,
16,13,34,18,
15,13,35,18,
14,13,35,18,
14,14,35,18,
14,14,35,19,
14,14,34,19,
15,13,34,20,
15,13,35,21,
13,13,34,20,
14,13,34,19,
14,11,34,19,
14,11,34,19,
14,11,34,20,
14,11,34,20,
13,11,35,20,
13,11,35,20,
14,11,36,20,
14,11,36,21,
14,11,36,21,
13,11,36,22,
13,11,36,22,
14,10,36,21,
14,10,35,21,
14,10,35,21,
14,11,36,22,
14,11,36,22,
14,11,36,20,
14,11,36,20,
14,11,36,20,
14,11,36,21,
14,11,37,22,
14,12,36,21,
14,12,35,21,
14,12,35,21,
15,13,34,22,
16,12,33,23,
16,12,33,24,
15,13,33,23,
14,13,32,21,
15,13,31,21,
15,12,30,19,
15,12,30,19,
14,12,31,19,
14,12,31,19,
14,12,31,19,
14,13,31,20,
14,13,30,20,
15,14,30,21,
14,16,29,21,
14,15,29,21,
14,14,30,22,
15,15,30,22,
15,15,30,22,
15,15,29,22,
15,15,29,21,
15,15,29,21,
15,16,28,20,
15,16,27,20,
15,16,27,20,
15,16,28,20,
15,16,29,20,
15,16,29,20,
16,16,29,21,
16,16,29,21,
15,16,28,20,
15,16,28,20,
15,16,28,21,
14,16,29,20,
15,16,26,20,
15,16,27,20,
15,17,28,20,
15,17,29,20,
15,16,30,21,
15,17,30,21,
15,16,30,21,
16,16,30,21,
16,16,30,21,
15,16,29,22,
16,16,29,22,
16,16,29,23,
17,16,29,21,
17,16,29,21,
